module,minutes
product_list_price_from_pricelist,129
product_logistics_uom,188
product_lot_sequence,148
product_main_supplierinfo,74
product_manufacturer,96
product_medical,116
product_multi_category,68
product_origin,120
product_packaging_calculator,147
product_packaging_calculator_packaging_level,72
product_packaging_dimension,103
product_packaging_level,157
product_packaging_level_salable,85
product_packaging_level_vendor,68
product_packaging_unit_price_calculator,146
product_pricelist_alternative,120
product_pricelist_by_contact,62
product_pricelist_direct_print,245
product_pricelist_direct_print_company_group,68
product_pricelist_direct_print_website_sale,83
product_pricelist_direct_print_xlsx,127
product_pricelist_fixed_currency_rate,110
product_pricelist_revision,104
product_pricelist_supplierinfo,130
product_print_category,247
product_product_template_link,67
product_route_mto,71
product_sale_manufactured_for,72
product_secondary_unit,149
product_sequence,125
product_set,150
product_state,121
product_state_sale,62
product_state_stock_base,62
product_status,159
product_sticker,192
product_stock_state,115
product_supplierinfo_archive,66
product_supplierinfo_import,210
product_supplierinfo_import_margin,66
product_supplierinfo_revision,92
product_supplierinfo_stock_picking_type,75
product_tags_code,73
product_total_weight_from_packaging,78
product_uom_updatable,78
product_variant_route_mto,103
purchase_product_template_tags,61
sale_product_template_tags,61
stock_lot_production_date,65
uom_alias,78
project_administrator_restricted_visibility,67
project_department,75
project_group,67
project_hr,112
project_key,171
project_merge,103
project_milestone_status,110
project_parent,80
project_parent_task_filter,62
project_pivot,62
project_purchase_link,116
project_role,220
project_scrum,174
project_sequence,104
project_stage_last_update_date,68
project_stakeholder,88
project_tag_hierarchy,75
project_tag_multicompany,66
project_tag_security,75
project_task_add_very_high,68
project_task_code,88
project_task_default_stage,78
project_task_description_template,79
project_task_name_with_id,78
project_task_note,65
project_task_parent_completion_blocking,66
project_task_parent_due_auto,72
project_task_personal_stage_auto_fold,73
project_task_pull_request,73
project_task_stage_mgmt,64
project_task_stage_state,71
project_task_stock,265
project_task_stock_product_set,94
project_task_tag,62
project_template,89
project_timeline,106
project_timeline_hr_timesheet,62
project_timesheet_time_control,277
project_type,98
project_version,84
sale_project_copy_tasks,115
sale_project_task_recurrency,132
base_comment_template,201
bi_sql_editor,397
pdf_xml_attachment,87
report_csv,189
report_py3o,370
report_py3o_fusion_server,237
report_qr,84
report_qweb_element_page_visibility,65
report_qweb_encrypt,134
report_qweb_field_option,121
report_qweb_parameter,90
report_qweb_pdf_cover,147
report_qweb_pdf_watermark,126
report_substitute,143
report_wkhtmltopdf_param,86
report_xlsx,182
report_xlsx_helper,436
report_xml,163
sql_export,127
sql_export_excel,106
sql_request_abstract,182
product_sold_by_delivery_week,171
sale_layout_category_hide_detail,181
sale_order_line_position,115
sale_order_product_recommendation_product_sold_by_delivery_week,75
sale_order_report_product_image,62
sale_report_delivered,122
sale_report_delivered_brand,70
sale_report_delivered_partner_priority,70
sale_report_delivered_subtotal,67
sale_report_delivered_volume,66
sale_report_salesperson_from_partner,70
partner_sale_pivot,64
portal_sale_order_search,92
portal_sale_personal_data_only,67
pricelist_cache,265
product_customerinfo_elaboration,89
product_customerinfo_sale,83
product_form_sale_link,84
product_set_sell_only_by_packaging,110
sale_automatic_workflow,248
sale_automatic_workflow,248
sale_automatic_workflow_job,111
sale_automatic_workflow_periodicity,87
sale_automatic_workflow_periodicity,87
sale_automatic_workflow_stock,126
sale_automatic_workflow_stock,126
sale_automatic_workflow_stock_job,72
sale_block_no_stock,211
sale_cancel_reason,92
sale_cancel_reason,92
sale_commercial_partner,69
sale_commercial_partner,69
sale_company_currency,78
sale_delivery_split_date,78
sale_delivery_state,126
sale_discount_display_amount,146
sale_discount_display_amount,146
sale_elaboration,249
sale_exception,147
sale_exception,147
sale_exception_product_sale_manufactured_for,70
sale_exception_product_sale_manufactured_for,70
sale_fixed_discount,105
sale_force_invoiced,84
sale_force_invoiced,84
sale_global_discount,176
sale_invoice_blocking,82
sale_invoice_frequency,91
sale_invoice_policy,107
sale_invoice_split_payment,65
sale_mail_autosubscribe,61
sale_manual_delivery,207
sale_mrp_bom,110
sale_order_amount_to_invoice,74
sale_order_archive,70
sale_order_archive,70
sale_order_carrier_auto_assign,102
sale_order_disable_user_autosubscribe,67
sale_order_general_discount,110
sale_order_invoicing_finished_task,111
sale_order_line_chained_move,101
sale_order_line_date,87
sale_order_line_date,87
sale_order_line_delivery_state,82
sale_order_line_input,108
sale_order_line_menu,86
sale_order_line_menu,86
sale_order_line_note,64
sale_order_line_note,64
sale_order_line_price_history,155
sale_order_line_price_history,155
sale_order_line_remove,90
sale_order_line_sequence,92
sale_order_line_sequence,92
sale_order_line_stock_move_history,74
sale_order_line_tag,72
sale_order_lot_selection,79
sale_order_note_template,85
sale_order_price_recalculation,67
sale_order_priority,82
sale_order_product_assortment,82
sale_order_product_availability_inline,91
sale_order_product_availability_inline,91
sale_order_product_recommendation,228
sale_order_report_without_price,67
sale_order_report_without_price,67
sale_order_requested_delivery,101
sale_order_revision,78
sale_order_revision,78
sale_order_secondary_unit,127
sale_order_split_strategy,140
sale_order_tag,84
sale_order_transmit_method,72
sale_order_warn_message,73
sale_packaging_default,96
sale_partner_address_restrict,96
sale_partner_incoterm,76
sale_partner_primeship,150
sale_partner_selectable_option,79
sale_partner_selectable_option,79
sale_pricelist_display_surcharge,77
sale_procurement_group_by_line,104
sale_procurement_group_by_line,104
sale_product_identification,154
sale_product_set,139
sale_product_set,139
sale_product_set_packaging_qty,66
sale_product_set_packaging_qty,66
sale_quotation_number,96
sale_require_po_doc,81
sale_shipping_info_helper,84
sale_shipping_info_helper,84
sale_sourced_by_line,81
sale_sourced_by_line,81
sale_stock_cancel_restriction,64
sale_stock_cancel_restriction,64
sale_stock_delivery_state,66
sale_stock_line_customer_ref,140
sale_stock_line_customer_ref,140
sale_stock_line_sequence,77
sale_stock_partner_warehouse,72
sale_stock_picking_blocking,118
sale_stock_picking_note,96
sale_stock_return_request,108
sale_substate,83
sale_tier_validation,101
sale_tier_validation,101
sale_transaction_form_link,72
sale_wishlist,82
sale_wishlist,82
sales_team_security,95
sales_team_security,95
sell_only_by_packaging,135
sell_only_by_packaging,135
auth_admin_passkey,90
auth_api_key,112
auth_api_key_group,78
auth_api_key_server_env,68
auth_jwt,238
auth_oauth_filter_by_domain,72
auth_oauth_multi_token,111
auth_oidc,146
auth_oidc_environment,68
auth_saml,422
auth_session_timeout,110
auth_signup_verify_email,87
auth_user_case_insensitive,78
base_user_empty_password,82
base_user_show_email,64
impersonate_login,187
password_security,206
user_log_view,67
users_ldap_mail,76
base_external_dbsource,135
base_global_discount,114
base_import_match,138
base_user_role,241
base_user_role_company,100
base_user_role_history,124
server_action_sort,93
data_encryption,109
mail_environment,88
mail_environment_google_gmail,66
server_environment,296
server_environment_data_encryption,134
server_environment_ir_config_parameter,86
mail_activity_unlink_log,77
mail_gateway,679
mail_gateway_telegram,246
mail_gateway_whatsapp,434
mail_notification_with_history,74
mail_thread_create_nolog,100
fs_folder_webdav,75
crm_timesheet,103
hr_employee_cost_history,105
hr_timesheet_begin_end,95
hr_timesheet_calendar,176
hr_timesheet_day_week,82
hr_timesheet_editable_top,61
hr_timesheet_sheet,590
hr_timesheet_sheet_attendance,140
hr_timesheet_sheet_autodraft,90
hr_timesheet_sheet_policy_project_manager,107
hr_timesheet_sheet_warning,124
hr_timesheet_task_domain,64
hr_timesheet_task_required,87
hr_timesheet_task_stage,83
hr_timesheet_time_type,78
hr_timesheet_unusual_days,66
project_task_analytic_propagation,78
sale_timesheet_invoice_link,62
sale_timesheet_line_exclude,85
sale_timesheet_timeline,92
web_calendar_slot_duration,72
web_chatter_position,94
web_company_color,173
web_copy_confirm,70
web_datetime_picker_default_time,166
web_dialog_size,97
web_disable_export_group,80
web_editor_class_selector,136
web_editor_disable_chatgpt,62
web_excel_export_dynamic_expand,80
web_filter_header_button,113
web_group_expand,85
web_ir_actions_act_multi,81
web_ir_actions_act_window_message,104
web_m2x_options,190
web_no_bubble,60
web_notify,146
web_notify_channel_message,85
web_notify_upgrade,75
web_pivot_computed_measure,209
web_quick_start_screen,126
web_refresher,103
web_remember_tree_column_width,98
web_responsive,420
web_save_discard_button,67
web_search_with_and,106
web_send_message_popup,129
web_session_auto_close,88
web_systray_button_init_action,79
web_theme_classic,60
web_timeline,456
web_tree_dynamic_colored_field,79
web_tree_many2one_clickable,70
web_widget_bokeh_chart,90
web_widget_domain_editor_dialog,97
web_widget_dropdown_dynamic,98
web_widget_mpld3_chart,83
web_widget_numeric_step,97
web_widget_one2many_tree_line_duplicate,87
web_widget_open_tab,85
web_widget_product_label_section_and_note_name_visibility,76
web_widget_url_advanced,80
web_widget_x2many_2d_matrix,169
