App;User Group;1;2;3;4;5;6;7;8
hw_drivers;base.group_user;33;33;33;33;33;33;33;33
hw_escpos;base.group_user;33;33;33;33;33;33;33;33
hw_posbox_homepage;base.group_user;33;33;33;33;33;33;33;33
iap;base.group_user;0,0348;0,0696;0,1044;0,1392;0,174;0,2088;0,2436;0,2784
iap_crm;base.group_user;0;0;0;0;0;0;0;0
iap_mail;base.group_user;0,6;1,2;1,8;2,4;3;3,6;4,2;4,8
im_livechat;base.group_user;1,6;3,2;4,8;4,8;4,8;4,8;4,8;4,8
im_livechat_mail_bot;base.group_user;0;0;0;0;0;0;0;0
industry_fsm;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
knowledge;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_account_edi_ubl_cii_tests;base.group_user;33;33;33;33;33;33;33;33
l10n_ae;base.group_user;98,1;98,1;98,1;98,1;98,1;98,1;98,1;98,1
l10n_ae_pos;base.group_user;180;180;180;180;180;180;180;180
l10n_anz_ubl_pint;base.group_user;60;60;60;60;60;60;60;60
l10n_ar;base.group_user;216;216;216;216;216;216;216;216
l10n_ar_pos;base.group_user;30;30;30;30;30;30;30;30
l10n_ar_website_sale;base.group_user;33;33;33;33;33;33;33;33
l10n_ar_withholding;base.group_user;444;444;444;444;444;444;444;444
l10n_at;base.group_user;402;402;402;402;402;402;402;402
l10n_au;base.group_user;99,6;99,6;99,6;99,6;99,6;99,6;99,6;99,6
l10n_bd;base.group_user;30;30;30;30;30;30;30;30
l10n_be;base.group_user;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5
l10n_be_pos_restaurant;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_be_pos_sale;base.group_user;33;33;33;33;33;33;33;33
l10n_bf;base.group_user;30;30;30;30;30;30;30;30
l10n_bg;base.group_user;168;168;168;168;168;168;168;168
l10n_bg_ledger;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_bh;base.group_user;30;30;30;30;30;30;30;30
l10n_bj;base.group_user;30;30;30;30;30;30;30;30
l10n_bo;base.group_user;96;96;96;96;96;96;96;96
l10n_br;base.group_user;823,5;823,5;823,5;823,5;823,5;823,5;823,5;823,5
l10n_br_pix;base.group_user;0;0;0;0;0;0;0;0
l10n_br_sales;base.group_user;30;30;30;30;30;30;30;30
l10n_br_website_sale;base.group_user;30;30;30;30;30;30;30;30
l10n_ca;base.group_user;165;165;165;165;165;165;165;165
l10n_cd;base.group_user;30;30;30;30;30;30;30;30
l10n_cf;base.group_user;30;30;30;30;30;30;30;30
l10n_cg;base.group_user;30;30;30;30;30;30;30;30
l10n_ch;base.group_user;201;201;201;201;201;201;201;201
l10n_ch_pos;base.group_user;33;33;33;33;33;33;33;33
l10n_ci;base.group_user;30;30;30;30;30;30;30;30
l10n_cl;base.group_user;135;135;135;135;135;135;135;135
l10n_cm;base.group_user;30;30;30;30;30;30;30;30
l10n_cn;base.group_user;57;57;57;57;57;57;57;57
l10n_cn_city;base.group_user;33;33;33;33;33;33;33;33
l10n_co;base.group_user;174;174;174;174;174;174;174;174
l10n_co_pos;base.group_user;33;33;33;33;33;33;33;33
l10n_cr;base.group_user;63;63;63;63;63;63;63;63
l10n_cy;base.group_user;30;30;30;30;30;30;30;30
l10n_cz;base.group_user;291;291;291;291;291;291;291;291
l10n_de;base.group_user;858;858;858;858;858;858;858;858
l10n_de_audit_trail;base.group_user;0;0;0;0;0;0;0;0
l10n_de_skr03;base.group_user;0;0;0;0;0;0;0;0
l10n_de_skr04;base.group_user;0;0;0;0;0;0;0;0
l10n_din5008;base.group_user;33;33;33;33;33;33;33;33
l10n_din5008_purchase;base.group_user;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3
l10n_din5008_repair;base.group_user;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5
l10n_din5008_sale;base.group_user;33;33;33;33;33;33;33;33
l10n_din5008_stock;base.group_user;33;33;33;33;33;33;33;33
l10n_dk;base.group_user;204,9;204,9;204,9;204,9;204,9;204,9;204,9;204,9
l10n_dk_audit_trail;base.group_user;0;0;0;0;0;0;0;0
l10n_dk_bookkeeping;base.group_user;0;0;0;0;0;0;0;0
l10n_dk_oioubl;base.group_user;60;60;60;60;60;60;60;60
l10n_do;base.group_user;228;228;228;228;228;228;228;228
l10n_dz;base.group_user;396;396;396;396;396;396;396;396
l10n_ec;base.group_user;369;369;369;369;369;369;369;369
l10n_ec_stock;base.group_user;33;33;33;33;33;33;33;33
